"OBJECTID","FNAME","CLASS","DESCRIPTIO","COORD_X","COORD_Y","admin1Name","admin1Pcod","admin2Name","admin2Pcod","admin0Name","admin0Pcod","rowcacode0","Pcod1_iso3","Pcod2_iso3","coords.x1","coords.x2","optional"
"181","Blayaken",0,NA,-7.58234,4.64599,"Maryland","LR10","Pleebo/Sodoken","LR1006","Liberia","LR","LBR","LBR010","LBR010006",-7.58233999999993,4.64599000000004,TRUE
"182","Rock Town Kunokudi",0,NA,-7.61701,4.64607,"Maryland","LR10","Pleebo/Sodoken","LR1006","Liberia","LR","LBR","LBR010","LBR010006",-7.61700999999994,4.64607000000007,TRUE
"183","Zoloken/Gbarken",0,NA,-8.09445,4.64742,"Grand Kru","LR07","Grand Cess Wedabo","LR0712","Liberia","LR","LBR","LBR007","LBR007012",-8.09444999999994,4.64742000000007,TRUE
"184","Lepersy Camp # 1",0,NA,-7.69141,4.64783,"Maryland","LR10","Karluway#2","LR1004","Liberia","LR","LBR","LBR010","LBR010004",-7.69140999999996,4.64783000000006,TRUE
"185","Nanwhy Kpo",0,NA,-8.3079,4.64909,"Grand Kru","LR07","Barclayville","LR0701","Liberia","LR","LBR","LBR007","LBR007001",-8.30789999999996,4.64909000000006,TRUE
"186","Sobobo",0,NA,-8.38951,4.64989,"Grand Kru","LR07","Barclayville","LR0701","Liberia","LR","LBR","LBR007","LBR007001",-8.38950999999997,4.64989000000003,TRUE
"187","Funkpo",0,NA,-8.38947,4.65001,"Grand Kru","LR07","Barclayville","LR0701","Liberia","LR","LBR","LBR007","LBR007001",-8.38946999999996,4.65001000000007,TRUE
"188","Gibson Farm",0,NA,-7.69231,4.65085,"Maryland","LR10","Karluway#2","LR1004","Liberia","LR","LBR","LBR010","LBR010004",-7.69230999999996,4.65085000000005,TRUE
"189","Lepersy Camp # 2",0,NA,-7.69685,4.65232,"Maryland","LR10","Karluway#2","LR1004","Liberia","LR","LBR","LBR010","LBR010004",-7.69684999999993,4.65232000000003,TRUE
"190","Wetehken",0,NA,-7.6582,4.65274,"Maryland","LR10","Karluway#2","LR1004","Liberia","LR","LBR","LBR010","LBR010004",-7.65819999999997,4.65274000000005,TRUE
"191","Elizabeth Collinsvill",0,NA,-8.08907,4.65476,"Grand Kru","LR07","Grand Cess Wedabo","LR0712","Liberia","LR","LBR","LBR007","LBR007012",-8.08906999999994,4.65476000000007,TRUE
"192","Lebrosy Camp #2",0,NA,-7.70269,4.65533,"Maryland","LR10","Karluway#2","LR1004","Liberia","LR","LBR","LBR010","LBR010004",-7.70268999999996,4.65533000000005,TRUE
"193","Tugbaken",0,NA,-7.7107,4.66166,"Maryland","LR10","Karluway#2","LR1004","Liberia","LR","LBR","LBR010","LBR010004",-7.71069999999997,4.66166000000004,TRUE
"194","Henogba",0,NA,-7.76145,4.66342,"Maryland","LR10","Karluway#2","LR1004","Liberia","LR","LBR","LBR010","LBR010004",-7.76144999999997,4.66342000000003,TRUE
"195","Pennuken",0,NA,-7.90896,4.66746,"Grand Kru","LR07","Trenbo","LR0716","Liberia","LR","LBR","LBR007","LBR007016",-7.90895999999998,4.66746000000006,TRUE
"196","Big Suehn B",0,NA,-8.16505,4.66831,"Grand Kru","LR07","Barclayville","LR0701","Liberia","LR","LBR","LBR007","LBR007001",-8.16504999999995,4.66831000000008,TRUE
"197","Jekwikpo",0,NA,-8.42679,4.67104,"Grand Kru","LR07","Felo-Jekwi","LR0707","Liberia","LR","LBR","LBR007","LBR007007",-8.42678999999993,4.67104000000006,TRUE
"198","Topoe",0,NA,-8.22182,4.67131,"Grand Kru","LR07","Barclayville","LR0701","Liberia","LR","LBR","LBR007","LBR007001",-8.22181999999998,4.67131000000006,TRUE
"199","Big Suehn A",0,NA,-8.16539,4.67178,"Grand Kru","LR07","Barclayville","LR0701","Liberia","LR","LBR","LBR007","LBR007001",-8.16538999999995,4.67178000000007,TRUE
"200","Felokree",0,NA,-8.42842,4.67382,"Grand Kru","LR07","Felo-Jekwi","LR0707","Liberia","LR","LBR","LBR007","LBR007007",-8.42841999999996,4.67382000000003,TRUE
"201","Dokleken # 1",0,NA,-7.71347,4.67492,"Maryland","LR10","Karluway#2","LR1004","Liberia","LR","LBR","LBR010","LBR010004",-7.71346999999997,4.67492000000004,TRUE
"202","Dougbo City",0,NA,-7.90957,4.67576,"Grand Kru","LR07","Trenbo","LR0716","Liberia","LR","LBR","LBR007","LBR007016",-7.90956999999997,4.67576000000003,TRUE
"203","Sobobo",0,NA,-8.30771,4.67589,"Grand Kru","LR07","Barclayville","LR0701","Liberia","LR","LBR","LBR007","LBR007001",-8.30770999999993,4.67589000000004,TRUE
"204","Feleken",0,NA,-8.21825,4.67616,"Grand Kru","LR07","Barclayville","LR0701","Liberia","LR","LBR","LBR007","LBR007001",-8.21824999999995,4.67616000000004,TRUE
"205","Daryoken",0,NA,-7.90906,4.67741,"Grand Kru","LR07","Trenbo","LR0716","Liberia","LR","LBR","LBR007","LBR007016",-7.90905999999995,4.67741000000007,TRUE
"206","Yedieken",0,NA,-7.66286,4.67765,"Maryland","LR10","Karluway#2","LR1004","Liberia","LR","LBR","LBR010","LBR010004",-7.66285999999997,4.67765000000003,TRUE
"207","Kayken",0,NA,-8.23745,4.6796,"Grand Kru","LR07","Barclayville","LR0701","Liberia","LR","LBR","LBR007","LBR007001",-8.23744999999997,4.67960000000005,TRUE
"208","Barclayville",2,"Capital of County",-8.23389,4.67972,"Grand Kru","LR07","Barclayville","LR0701","Liberia","LR","LBR","LBR007","LBR007001",-8.23388999999997,4.67972000000003,TRUE
"209","Daryoken",0,NA,-8.22394,4.67989,"Grand Kru","LR07","Barclayville","LR0701","Liberia","LR","LBR","LBR007","LBR007001",-8.22393999999997,4.67989000000006,TRUE
"210","Dokleken # 2",0,NA,-7.71618,4.68047,"Maryland","LR10","Karluway#2","LR1004","Liberia","LR","LBR","LBR010","LBR010004",-7.71617999999995,4.68047000000007,TRUE
"211","Zoroken",0,NA,-7.97894,4.68069,"Grand Kru","LR07","Grand Cess Wedabo","LR0712","Liberia","LR","LBR","LBR007","LBR007012",-7.97893999999997,4.68069000000003,TRUE
"212","Gbalay",0,NA,-7.66078,4.68501,"Maryland","LR10","Karluway#2","LR1004","Liberia","LR","LBR","LBR010","LBR010004",-7.66077999999993,4.68501000000003,TRUE
"213","Potuso",0,NA,-7.69756,4.6851,"Maryland","LR10","Karluway#2","LR1004","Liberia","LR","LBR","LBR010","LBR010004",-7.69755999999995,4.68510000000003,TRUE
"214","Yederobo Wissiken",0,NA,-7.5738,4.6864,"Maryland","LR10","Karluway#2","LR1004","Liberia","LR","LBR","LBR010","LBR010004",-7.57379999999995,4.68640000000005,TRUE
"215","Gbiso",0,NA,-7.64963,4.68749,"Maryland","LR10","Karluway#2","LR1004","Liberia","LR","LBR","LBR010","LBR010004",-7.64962999999995,4.68749000000003,TRUE
"216","Doloken",0,NA,-7.6914,4.69068,"Maryland","LR10","Karluway#2","LR1004","Liberia","LR","LBR","LBR010","LBR010004",-7.69139999999993,4.69068000000004,TRUE
"217","Gbon",0,NA,-7.63971,4.69069,"Maryland","LR10","Karluway#2","LR1004","Liberia","LR","LBR","LBR010","LBR010004",-7.63970999999998,4.69069000000007,TRUE
"218","Gbanken",0,NA,-7.90221,4.69203,"Grand Kru","LR07","Trenbo","LR0716","Liberia","LR","LBR","LBR007","LBR007016",-7.90220999999997,4.69203000000005,TRUE
